api_2gram,frequency
TerminateProcess->GetCurrentProcess,206
VirtualProtect->VirtualQuery,204
GetCurrentProcessId->GetCurrentThreadId,195
RtlLookupFunctionEntry->RtlVirtualUnwind,186
RtlCaptureContext->RtlLookupFunctionEntry,185
FreeEnvironmentStringsW->WideCharToMultiByte,184
GetACP->GetOEMCP,184
GetEnvironmentStringsW->SetHandleCount,179
strlen->strncmp,178
GetSystemTimeAsFileTime->GetTickCount,177
HeapDestroy->HeapCreate,168
SetUnhandledExceptionFilter->Sleep,165
GetStartupInfoA->GetCommandLineA,164
_lock->_onexit,161
GetCurrentProcess->GetCurrentProcessId,160
HeapCreate->VirtualFree,157
Sleep->TerminateProcess,157
DeleteCriticalSection->EnterCriticalSection,157
malloc->memcpy,157
__set_app_type->__setusermatherr,154
UnhandledExceptionFilter->VirtualProtect,152
__getmainargs->__initenv,152
_amsg_exit->_cexit,152
GetModuleHandleA->GetProcAddress,151
TerminateProcess->TlsGetValue,151
_acmdln->_amsg_exit,151
__setusermatherr->_acmdln,150
TlsGetValue->UnhandledExceptionFilter,150
RtlAddFunctionTable->RtlCaptureContext,149
__dllonexit->__getmainargs,149
__iob_func->__lconv_init,149
__initenv->__iob_func,148
calloc->exit,148
InitializeCriticalSection->LeaveCriticalSection,147
GetStartupInfoA->GetSystemTimeAsFileTime,146
QueryPerformanceCounter->RtlAddFunctionTable,146
GetTickCount->InitializeCriticalSection,145
GetCurrentThreadId->GetLastError,144
GetStdHandle->GetFileType,141
TlsGetValue->TlsAlloc,139
GetEnvironmentStrings->FreeEnvironmentStringsW,139
RtlVirtualUnwind->SetUnhandledExceptionFilter,137
FreeEnvironmentStringsA->GetEnvironmentStrings,136
__lconv_init->__set_app_type,136
EnterCriticalSection->GetCurrentProcess,135
_initterm->_lock,134
GetCurrentProcessId->GetSystemTimeAsFileTime,133
LeaveCriticalSection->QueryPerformanceCounter,133
VirtualQuery->__C_specific_handler,132
free->fwrite,132
_fmode->_initterm,129
