feature,importance
section_entropy_max,981
entry_point,553
file_size,513
imported_dlls,448
section_raw_size_mean,423
section_raw_size_max,415
section_entropy_std,398
imported_functions,355
section_entropy_mean,322
section_size_ratio_mean,298
section_size_ratio_max,291
section_size_ratio_min,288
section_virtual_size_max,269
characteristics,265
section_virtual_size_mean,264
number_of_sections_header,260
section_entropy_min,231
section_virtual_size_min,198
section_raw_size_min,158
subsystem,154
writable_sections,84
image_base,73
machine,59
section_count,42
high_entropy_sections,29
readable_sections,6
executable_sections,6
rwx_sections,2
valid_pe,0
